dataset,class_name,calibration,bin_lower,bin_upper,count,mean_probability,observed_rate
ptbxl_external,sinus_rhythm,temperature_scaled,0.30000000000000004,0.4,28,0.335427514150516,0.6785714285714286
ptbxl_external,sinus_rhythm,temperature_scaled,0.4,0.5,26,0.4523799107177603,0.7307692307692307
ptbxl_external,sinus_rhythm,temperature_scaled,0.5,0.6000000000000001,24,0.561017368618694,0.7916666666666666
ptbxl_external,sinus_rhythm,temperature_scaled,0.6000000000000001,0.7000000000000001,33,0.6625192842832125,0.696969696969697
ptbxl_external,sinus_rhythm,temperature_scaled,0.7000000000000001,0.8,66,0.7535966615105787,0.6666666666666666
ptbxl_external,sinus_rhythm,temperature_scaled,0.8,0.9,106,0.85370670248721,0.8018867924528302
ptbxl_external,sinus_rhythm,temperature_scaled,0.9,1.0,1273,0.9736889255084477,0.9316575019638649
chapman_test,sinus_bradycardia,raw,0.0,0.1,2639,0.0019404207852876088,0.0030314513073133762
chapman_test,sinus_bradycardia,raw,0.1,0.2,19,0.15582693705263156,0.21052631578947367
chapman_test,sinus_bradycardia,raw,0.2,0.30000000000000004,16,0.2412231875,0.375
chapman_test,sinus_bradycardia,raw,0.30000000000000004,0.4,23,0.35702016521739127,0.6086956521739131
chapman_test,sinus_bradycardia,raw,0.4,0.5,21,0.45402019857142856,0.8095238095238095
chapman_test,sinus_bradycardia,raw,0.5,0.6000000000000001,27,0.5470118248148148,0.8888888888888888
chapman_test,sinus_bradycardia,raw,0.6000000000000001,0.7000000000000001,25,0.6494433552,0.88
chapman_test,sinus_bradycardia,raw,0.7000000000000001,0.8,65,0.749411391846154,0.9384615384615385
chapman_test,sinus_bradycardia,raw,0.8,0.9,89,0.8573230720224722,1.0
chapman_test,sinus_bradycardia,raw,0.9,1.0,1413,0.9916135051026185,0.9978768577494692
chapman_test,sinus_bradycardia,temperature_scaled,0.0,0.1,2648,0.0008229036480033813,0.0037764350453172208
chapman_test,sinus_bradycardia,temperature_scaled,0.1,0.2,22,0.15275922878760534,0.3181818181818182
chapman_test,sinus_bradycardia,temperature_scaled,0.2,0.30000000000000004,11,0.2526874029061355,0.6363636363636364
chapman_test,sinus_bradycardia,temperature_scaled,0.30000000000000004,0.4,21,0.35018754608182884,0.6190476190476191
chapman_test,sinus_bradycardia,temperature_scaled,0.4,0.5,16,0.45709672730231254,0.75
chapman_test,sinus_bradycardia,temperature_scaled,0.5,0.6000000000000001,22,0.5490538044246656,0.9545454545454546
chapman_test,sinus_bradycardia,temperature_scaled,0.6000000000000001,0.7000000000000001,19,0.6513046004306395,0.7894736842105263
chapman_test,sinus_bradycardia,temperature_scaled,0.7000000000000001,0.8,39,0.7567028554087842,0.8974358974358975
chapman_test,sinus_bradycardia,temperature_scaled,0.8,0.9,70,0.8546778187657416,0.9857142857142858
chapman_test,sinus_bradycardia,temperature_scaled,0.9,1.0,1469,0.9940765025440246,0.9979577944179714
ptbxl_external,sinus_bradycardia,raw,0.0,0.1,1765,0.003931052188060057,0.0011331444759206798
ptbxl_external,sinus_bradycardia,raw,0.1,0.2,30,0.14860282536666664,0.0
ptbxl_external,sinus_bradycardia,raw,0.2,0.30000000000000004,16,0.24933558,0.0
ptbxl_external,sinus_bradycardia,raw,0.30000000000000004,0.4,17,0.3501952894117647,0.0
ptbxl_external,sinus_bradycardia,raw,0.4,0.5,12,0.45319381250000007,0.0
ptbxl_external,sinus_bradycardia,raw,0.5,0.6000000000000001,15,0.548057772,0.06666666666666667
ptbxl_external,sinus_bradycardia,raw,0.6000000000000001,0.7000000000000001,11,0.6382014845454546,0.0
ptbxl_external,sinus_bradycardia,raw,0.7000000000000001,0.8,18,0.753248405,0.2222222222222222
ptbxl_external,sinus_bradycardia,raw,0.8,0.9,26,0.8637715076923077,0.038461538461538464
ptbxl_external,sinus_bradycardia,raw,0.9,1.0,288,0.9893832528819444,0.19444444444444445
ptbxl_external,sinus_bradycardia,temperature_scaled,0.0,0.1,1782,0.002120575625582055,0.001122334455667789
ptbxl_external,sinus_bradycardia,temperature_scaled,0.1,0.2,21,0.13622849492040776,0.0
ptbxl_external,sinus_bradycardia,temperature_scaled,0.2,0.30000000000000004,16,0.2480089304702486,0.0
ptbxl_external,sinus_bradycardia,temperature_scaled,0.30000000000000004,0.4,10,0.3479205861314115,0.0
ptbxl_external,sinus_bradycardia,temperature_scaled,0.4,0.5,11,0.4444206486453907,0.0
ptbxl_external,sinus_bradycardia,temperature_scaled,0.5,0.6000000000000001,11,0.5444514450356915,0.09090909090909091
ptbxl_external,sinus_bradycardia,temperature_scaled,0.6000000000000001,0.7000000000000001,13,0.646609649575836,0.0
ptbxl_external,sinus_bradycardia,temperature_scaled,0.7000000000000001,0.8,9,0.7662647899457101,0.1111111111111111
ptbxl_external,sinus_bradycardia,temperature_scaled,0.8,0.9,16,0.8439264473295426,0.1875
ptbxl_external,sinus_bradycardia,temperature_scaled,0.9,1.0,309,0.9910934945953365,0.18446601941747573
chapman_test,sinus_tachycardia,raw,0.0,0.1,3516,0.00677651751076223,0.002559726962457338
